,Node/Line,Capacity (MW)
11183,ESH2MT-FRH2MT (2) Expansion,914.0625
11243,ESH2MT-PTH2MT (1) Expansion,585.0
11361,ESH2R1-ESSNR1,100000.0
11394,ES-PT,4200.0
11538,ESRETE-ESEV2W,3162.40355768
11610,ESRETE-ESEV2W V2g,3162.40355768
11706,FI-FIEV2W,661.28634955
11776,FI-FIEV2W V2g,661.28634955
11810,FI-FIH2R1 Expansion,11000.0
11846,FI-FIRETE,100000.0
11904,FI-FISNR1,100000.0
11949,FIH2MT-SE1H2MT (2) Expansion,1125.0
12021,FIH2R1-FISNR1,100000.0
12078,FIRETE-FIEV2W,648.37636913
12150,FIRETE-FIEV2W V2g,648.37636913
12186,FI-SE1,1100.0
12258,FI-SE1 Real 1,900.0
12414,FI-SE3,1200.0
12510,FR-BE Real 1,1000.0
12582,FR-CH Real 1,500.0
12654,FR-CH Real 2,1000.0
12726,FR-DE Real 1,1500.0
12798,FR-FREV2W,5052.66854026
12867,FR-FREV2W V2g,5052.66854026
12900,FR-FRH2R1 Expansion,13000.0
12936,FR-FRRETE,100000.0
13000,FR-FRSNR1,100000.0
13043,FRH2R1-FRSNR1,100000.0
13076,FR-IT,4100.0
13172,FR-LUF1,380.0
13190,FRRETE-FREV2W,6048.99706478
13262,FRRETE-FREV2W V2g,6048.99706478
13298,FR-UK,4000.0
13370,FR-UK Real 1,2000.0
13406,FR-UK Real 2,1400.0
13478,FR15-IT,70.0
13532,GR-GREV2W,797.9451934
13600,GR-GREV2W V2g,797.9451934
13632,GR-GRH2R1 Expansion,2000.0
13668,GR-GRRETE,100000.0
13736,GR-GRSNR1,100000.0
13769,GR-GR3,800.0
13853,GRH2MT-ITH2MT (1) Expansion,98.75
13915,GRH2R1-GRSNR1,100000.0
13948,GR-IT,500.0
14056,GR-MA Real 1,2000.0
14128,GR-MK,1100.0
14272,GRRETE-GREV2W,741.71108096
14344,GRRETE-GREV2W V2g,741.71108096
14380,GR-TR,660.0
14534,GR-TR Real 1,600.0
14686,GR3-GR Real 1,2000.0
14770,HRH2MT-HUH2MT (1) Expansion,118.9125
14833,HRH2MT-SIH2MT (1) Expansion,80.20833333
14900,HRH2R1-HRSNR1,100000.0
14933,HR-HREV2W,210.49950096
15001,HR-HREV2W V2g,210.49950096
15031,HR-HRH2R1 Expansion,2000.0
15049,HR-HRRETE,100000.0
15103,HR-HRSNR1,100000.0
15136,HR-HU,1700.0
15208,HRRETE-HREV2W,28.80255488
15280,HRRETE-HREV2W V2g,28.80255488
15316,HR-RS,480.0
15412,HR-RS Real 1,600.0
15484,HR-SI,2000.0
15649,HUH2MT-ROH2MT (2) Expansion,233.0
15769,HUH2MT-SKH2MT (2) Expansion,417.375
15832,HUH2R1-HUSNR1,100000.0
15865,HU-HUEV2W,648.47833595
15930,HU-HUEV2W V2g,648.47833595
15960,HU-HUH2R1 Expansion,4000.0
15996,HU-HURETE,100000.0
16056,HU-HUSNR1,100000.0
16089,HURETE-HUEV2W,558.0333284
16161,HURETE-HUEV2W V2g,558.0333284
16197,HU-RO,1000.0
16269,HU-RO Real 1,500.0
16305,HU-RS,680.0
16377,HU-RS Real 1,500.0
16449,HU-SI,1200.0
16521,HU-SK,1800.0
16665,HU-UA1,450.0
16737,IE-FR Real 1,700.0
16785,IEH2MT-UKH2MT (1) Expansion,767.39583351
16905,IEH2MT-UKNIH2MT,100000.0
16977,IEH2R1-IESNR1,100000.0
17010,IE-IEEV2W,520.75166697
17080,IE-IEEV2W V2g,520.75166697
17114,IE-IEH2R1 Expansion,1000.0
17150,IE-IERETE,100000.0
17207,IE-IESNR1,100000.0
17240,IERETE-IEEV2W,401.07179281
17312,IERETE-IEEV2W V2g,401.07179281
17348,IE-UK,500.0
17420,IE-UK Real 1,504.0
17492,IE-UK Real 2,750.0
17564,IE-UKNI,1250.0
17708,IT-CH Real 2,200.0
17780,ITH2MT-SIH2MT (1) Expansion,294.7916667
17852,ITH2R1-ITSNR1,500000.0
17885,IT-ITEV2W,5258.158542980001
17955,IT-ITEV2W V2g,5258.158542980001
17989,IT-ITH2R1 Expansion,10000.0
18049,IT-ITRETE,600000.0
18117,IT-ITSNR1,500000.0
18150,IT-ME,600.0
18222,IT-ME Real 1,600.0
18258,IT-MT,200.0
18330,ITRETE-ITEV2W,5048.042856110001
18402,ITRETE-ITEV2W V2g,5048.042856110001
18438,IT-SI,660.0
18510,IT-SI Real 1,125.0
18582,IT-SI Real 2,20.0
18666,LTH2MT-LVH2MT (1) Expansion,1359.0625
18786,LTH2MT-PLH2MT (1) Expansion,607.2916667
18856,LTH2MT-PLH2MT (2) Expansion,1676.125
18926,LTH2R1-LTSNR1,100000.0
