Load_res;LFW;Load;LFS
202802712;0.360246903;796592975;0.00123443
198214968;0.337324804;80300395;0.00
175264992;0.287175563;8285.16;0.00
151102224;0.210274974;794140075;0.00
128769816;0.143699817;814399075;0.00
117841752;0.117888619;76277855;0.00
109520544;0.093201595;73656775;0.00
103746216;0.073465135;7198252;0.00
106080912;0.054389448;70817035;0.00
116166288;0.060351673;719656975;0.00
146466264;0.074810521;7451064;0.010225957
18608856;0.079398755;748826225;0.103175651
204473808;0.066665739;765484875;0.238340649
212465904;0.06484265;787586425;0.365088154
225289176;0.071513324;76841995;0.406025
22565256;0.082463298;760614875;0.417894323
213625272;0.09134132;7639589;0.360907348
200334288;0.085072069;75738555;0.324576331
193535496;0.075704902;74547835;0.288898936
194626152;0.070829666;74913785;0.224552794
211692768;0.05851905;765051775;0.154356234
229304544;0.049880355;8003.05;0.070465798
228806424;0.042136042;832841825;0.011540819
246705648;0.052001889;8589.93;0.00
226629816;0.064764463;884978725;0.00
201769848;0.058439909;8432282;0.00
17539536;0.056506215;8266228;0.00
149630376;0.051765421;802117625;0.00
122034864;0.096316675;8280664;0.00
11319336;0.088615269;784941625;0.00
106268736;0.10142075;75116515;0.00
103671792;0.11205607;744264925;0.00
11092368;0.126029587;749237025;0.00
137648616;0.137722337;787729925;0.00
177441432;0.133534572;892450675;0.000496989
188400744;0.173053262;98688155;0.04254042
187848528;0.157336749;9884618;0.158681819
186077976;0.186982918;979270775;0.266837523
197861832;0.245188266;9595203;0.361830207
191726304;0.247515756;9271332;0.436592804
17928036;0.289288515;86828585;0.459349325
170196096;0.254291315;848923225;0.407808066
16986648;0.265779062;84331705;0.284204208
182760312;0.366478014;859435875;0.146321433
206954496;0.323650686;907254925;0.069185649
22618848;0.266717304;947668025;0.02373526
249546192;0.268326809;961721925;0.000548636
248154144;0.252882044;98259855;0.00
23111256;0.219458116;9757735;0.00
211650432;0.163505883;920148575;0.00
179085144;0.133602271;917288475;0.00
1495.2;0.129932256;8807248;0.00
121617048;0.56961796;793792675;0.00
112788648;0.603828524;744736225;0.00
105758856;0.621284217;716591175;0.00
103465824;0.68585226;705448925;0.00
1112958;0.693108382;717899875;0.00
140245056;0.687558068;757318325;0.00
181304928;0.694227789;85498315;0.00
189211176;0.705131041;936043825;0.004007241
185519208;0.700760205;9558454;0.024529426
183961848;0.687694418;971582275;0.048969953
197744904;0.664072452;97450745;0.098562202
19029948;0.641748197;971785175;0.239487873
175985544;0.588559203;912675975;0.367455415
165827088;0.506151208;8748453;0.41548727
165989208;0.457054629;846767025;0.394820305
182009016;0.431160476;840797325;0.277036386
212686152;0.392825078;86407095;0.142504691
235509624;0.357351129;927941275;0.031086806
270704112;0.339275662;97606735;0.000241298
25952976;0.301589596;1020497475;0.00
2404.92;0.306955884;10041024;0.00
216635832;0.3630807;9478911;0.00
175920864;0.410074815;92525835;0.00
141731184;0.418011735;88270265;0.00
14577948;0.137388612;922328825;0.00
12541536;0.111369552;870412825;0.00
1163316;0.09276108;84069145;0.00
108055752;0.069270696;831647025;0.00
1081962;0.05196947;8457883;0.00
116553024;0.04917572;893033025;0.00
15346296;0.0414295;100548255;0.00
204553776;0.030402292;1097811775;0.00
218465184;0.027614263;11035094;0.01919039
216547464;0.024433393;10868742;0.107708668
21257712;0.01998151;104193605;0.230915442
224745192;0.012360198;10172.93;0.306145395
217541688;0.01880966;9896366;0.319893457
202101312;0.025943734;1019462775;0.2263765
195544608;0.027947988;1024922775;0.1560123
19975032;0.031471164;1048167175;0.073619606
221288088;0.03505155;10786665;0.011716078
292313784;0.050472478;1149784375;0.00
311215464;0.045926198;1153262375;0.00
300056232;0.047851311;110436795;0.00
276660384;0.067002324;104205265;0.00
254178792;0.068496455;9899262;0.00
231316176;0.090277216;100185445;0.00
189831768;0.115988297;99498905;0.00
164899896;0.411618529;771056675;0.00
142880472;0.43553608;7125.91;0.00
13043688;0.561282478;6781034;0.00
117382608;0.688965432;649548625;0.00
113278872;0.763875116;6413952;0.00
111308736;0.769957482;6507818;0.00
